Isin,CurrencyCode,Ticker,company_name,environment_grade,environment_level,environment_score,esg_id,exchange_symbol,governance_grade,governance_level,governance_score,last_processing_date,social_grade,social_level,social_score,stock_symbol,total,total_grade,total_level
US49446R1095,USD,System.Object[],Kimco Realty Corporation,A,High,545,4108,NYSE,BB,Medium,305,20230222,BB,Medium,325,KIM,1175,BBB,High
US49456B1017,USD,System.Object[],"Kinder Morgan, Inc.",A,High,576,4112,NYSE,BB,Medium,315,20230222,BB,Medium,313,KMI,1204,A,High
US4824801009,USD,System.Object[],KLA Corporation,A,High,500,4137,NASDAQ,BB,Medium,318,20230222,BB,Medium,306,KLAC,1124,BBB,High
US5010441013,USD,System.Object[],The Kroger Co.,A,High,540,4178,NYSE,BB,Medium,315,20230222,BB,Medium,328,KR,1183,BBB,High
US5024311095,USD,System.Object[],"L3Harris Technologies, Inc.",A,High,510,72065,NYSE,B,Medium,285,20230301,BB,Medium,302,LHX,1097,BBB,High
US50540R4092,USD,System.Object[],Laboratory Corporation of America Holdings,A,High,500,4203,NYSE,BB,Medium,300,20230222,BB,Medium,300,LH,1100,BBB,High
US5128071082,USD,System.Object[],Lam Research Corporation,A,High,510,4214,NASDAQ,BB,Medium,305,20230222,BB,Medium,316,LRCX,1131,BBB,High
US5132721045,USD,System.Object[],"Lamb Weston Holdings, Inc.",A,High,510,72072,NYSE,BB,Medium,300,20230301,B,Medium,242,LW,1052,BBB,High
US5178341070,USD,System.Object[],Las Vegas Sands Corp.,A,High,510,4237,NYSE,BB,Medium,329,20230222,BB,Medium,330,LVS,1169,BBB,High
US5246601075,USD,System.Object[],"Leggett & Platt, Incorporated",A,High,500,4262,NYSE,BB,Medium,300,20230222,BB,Medium,300,LEG,1100,BBB,High
US5253271028,USD,System.Object[],"Leidos Holdings, Inc.",A,High,545,4264,NYSE,BB,Medium,348,20230222,BB,Medium,308,LDOS,1201,A,High
US5260571048,USD,System.Object[],Lennar Corporation,B,Medium,288,4270,NYSE,B,Medium,220,20230222,BB,Medium,301,LEN,809,BB,Medium
US5341871094,USD,System.Object[],Lincoln National Corporation,A,High,525,4324,NYSE,BB,Medium,305,20230222,BB,Medium,307,LNC,1137,BBB,High
IE000S9YS762,USD,System.Object[],Lindian Resources Limited,CC,Low,133,8742,ASX,B,Medium,285,20230223,B,Medium,259,LIN,677,B,Medium
US5380341090,USD,System.Object[],"Live Nation Entertainment, Inc.",BBB,High,487,4350,NYSE,B,Medium,283,20230222,BB,Medium,302,LYV,1072,BBB,High
US5018892084,USD,System.Object[],LKQ Corporation,A,High,545,4360,NASDAQ,BB,Medium,310,20230222,BB,Medium,313,LKQ,1168,BBB,High
US5398301094,USD,System.Object[],Lockheed Martin Corporation,A,High,500,4368,NYSE,BB,Medium,361,20230222,BB,Medium,301,LMT,1162,BBB,High
US5404241086,USD,System.Object[],Loews Corporation,A,High,500,4369,NYSE,BB,Medium,305,20230222,BB,Medium,305,L,1110,BBB,High
US5486611073,USD,System.Object[],"Lowes Companies, Inc.",B,Medium,233,4383,NYSE,B,Medium,200,20230222,B,Medium,200,LOW,633,B,Medium
US5502411037,USD,System.Object[],"Lumen Technologies, Inc.",A,High,500,72071,NYSE,BB,Medium,300,20230301,BB,Medium,306,LUMN,1106,BBB,High
NL0009434992,USD,System.Object[],LyondellBasell Industries N.V.,A,High,547,4412,NYSE,BB,Medium,300,20230222,BB,Medium,308,LYB,1155,BBB,High
US55261F1049,USD,System.Object[],M&T Bank Corporation,A,High,520,4418,NYSE,B,Medium,265,20230222,BB,Medium,300,MTB,1085,BBB,High
US56585A1025,USD,System.Object[],Marathon Petroleum Corporation,BBB,High,474,4504,NYSE,BB,Medium,310,20230222,BB,Medium,329,MPC,1113,BBB,High
US57060D1081,USD,System.Object[],MarketAxess Holdings Inc.,B,Medium,240,4520,NASDAQ,B,Medium,205,20230222,B,Medium,210,MKTX,655,B,Medium
US5719032022,USD,System.Object[],"Marriott International, Inc.",B,Medium,290,4527,NASDAQ,B,Medium,210,20230222,B,Medium,251,MAR,751,BB,Medium
US5717481023,USD,System.Object[],"Marsh & McLennan Companies, Inc.",A,High,500,4530,NYSE,BB,Medium,300,20230222,BB,Medium,300,MMC,1100,BBB,High
US5732841060,USD,System.Object[],"Martin Marietta Materials, Inc.",BBB,High,498,4533,NYSE,BB,Medium,305,20230222,BB,Medium,301,MLM,1104,BBB,High
US5745991068,USD,System.Object[],Masco Corporation,A,High,510,4538,NYSE,BB,Medium,300,20230222,BB,Medium,301,MAS,1111,BBB,High
US57636Q1040,USD,System.Object[],Mastercard Incorporated,B,Medium,210,4548,NYSE,B,Medium,215,20230222,B,Medium,230,MA,655,B,Medium
US5797802064,USD,System.Object[],"McCormick & Company, Incorporated",A,High,500,4577,NYSE,BB,Medium,300,20230222,BB,Medium,300,MKC,1100,BBB,High
US5801351017,USD,System.Object[],McDonalds Corporation,A,High,505,4579,NYSE,BB,Medium,300,20230222,BB,Medium,300,MCD,1105,BBB,High
US58155Q1031,USD,System.Object[],McKesson Corporation,A,High,520,4582,NYSE,BB,Medium,300,20230222,BB,Medium,302,MCK,1122,BBB,High
IE00BTN1Y115,USD,System.Object[],Medtronic plc,A,High,530,4629,NYSE,BB,Medium,315,20230222,BB,Medium,301,MDT,1146,BBB,High
US58933Y1055,USD,System.Object[],"Merck & Co., Inc.",A,High,525,4651,XPAR,BB,Medium,316,20230222,BB,Medium,302,MRK,1143,BBB,High
US59156R1086,USD,System.Object[],"MetLife, Inc.",A,High,510,4683,NYSE,BB,Medium,305,20230222,BB,Medium,335,MET,1150,BBB,High
US5926881054,USD,System.Object[],Mettler-Toledo International Inc.,A,High,510,4687,NYSE,B,Medium,240,20230222,BB,Medium,321,MTD,1071,BBB,High
US5529531015,USD,System.Object[],MGM Resorts International,A,High,503,4706,NYSE,BB,Medium,308,20230222,BB,Medium,317,MGM,1128,BBB,High
US5950171042,USD,System.Object[],Microchip Technology Incorporated,A,High,500,4714,NASDAQ,BB,Medium,300,20230222,BB,Medium,300,MCHP,1100,BBB,High
US5951121038,USD,System.Object[],"Micron Technology, Inc.",A,High,535,4716,NASDAQ,BB,Medium,320,20230222,BB,Medium,320,MU,1175,BBB,High
US5949181045,USD,System.Object[],Microsoft Corporation,AA,Excellent,805,4720,NASDAQ,BB,Medium,390,20230222,A,High,504,MSFT,1699,A,High
US59522J1034,USD,System.Object[],"Mid-America Apartment Communities, Inc.",BBB,High,425,4725,NYSE,BB,Medium,300,20230222,BB,Medium,300,MAA,1025,BBB,High
US60770K1079,USD,System.Object[],"Moderna, Inc.",A,High,500,4512,NASDAQ,BB,Medium,305,20230222,BB,Medium,305,MRNA,1110,BBB,High
US6081901042,USD,System.Object[],"Mohawk Industries, Inc.",AA,Excellent,605,4800,NYSE,BB,Medium,303,20230222,BB,Medium,326,MHK,1234,A,High
US60855R1005,USD,System.Object[],"Molina Healthcare, Inc.",B,Medium,220,4804,NYSE,B,Medium,213,20230222,BB,Medium,308,MOH,741,B,Medium
US6092071058,USD,System.Object[],"Mondelez International, Inc.",A,High,505,4816,NASDAQ,BB,Medium,315,20230222,BB,Medium,307,MDLZ,1127,BBB,High
US6098391054,USD,System.Object[],"Monolithic Power Systems, Inc.",BB,Medium,320,4826,NASDAQ,B,Medium,260,20230222,B,Medium,233,MPWR,813,BB,Medium
US61174X1090,USD,System.Object[],Monster Beverage Corporation,A,High,550,4830,NASDAQ,BB,Medium,318,20230222,BB,Medium,311,MNST,1179,BBB,High
US6153691059,USD,System.Object[],Moodys Corporation,A,High,565,4833,NYSE,B,Medium,235,20230222,BB,Medium,322,MCO,1122,BBB,High
US6174464486,USD,System.Object[],Morgan Stanley,A,High,515,4837,NYSE,BB,Medium,300,20230222,BB,Medium,300,MS,1115,BBB,High
US61945C1036,USD,System.Object[],The Mosaic Company,A,High,505,4842,NYSE,BB,Medium,305,20230222,BB,Medium,381,MOS,1191,BBB,High
US6200763075,USD,System.Object[],"Motorola Solutions, Inc.",A,High,575,4847,NYSE,BB,Medium,320,20230222,BB,Medium,363,MSI,1258,A,High
US55354G1004,USD,System.Object[],MSCI Inc.,A,High,579,4863,NYSE,BB,Medium,315,20230222,BB,Medium,333,MSCI,1227,A,High
US6311031081,USD,System.Object[],"Nasdaq, Inc.",A,High,505,4929,NASDAQ,BB,Medium,300,20230222,BB,Medium,301,NDAQ,1106,BBB,High
US64110D1046,USD,System.Object[],"NetApp, Inc.",A,High,585,5006,NASDAQ,BB,Medium,320,20230222,BB,Medium,362,NTAP,1267,A,High
US6512291062,USD,System.Object[],Newell Brands Inc.,A,High,528,5061,NASDAQ,BB,Medium,300,20230222,BB,Medium,304,NWL,1132,BBB,High
US6516391066,USD,System.Object[],Newmont Corporation,BBB,High,430,5063,NYSE,BB,Medium,315,20230222,BB,Medium,301,NEM,1046,BBB,High
US65249B1098,USD,System.Object[],News Corporation,A,High,520,5067,NASDAQ,BB,Medium,305,20230222,BB,Medium,364,NWSA,1189,BBB,High
US6541061031,USD,System.Object[],"NIKE, Inc.",B,Medium,220,5096,NYSE,B,Medium,200,20230222,BB,Medium,307,NKE,727,B,Medium
US65473P1057,USD,System.Object[],NiSource Inc.,B,Medium,283,5108,NYSE,B,Medium,245,20230222,B,Medium,277,NI,805,BB,Medium
US65339F1012,USD,System.Object[],"NextEra Energy, Inc.",BBB,High,482,5077,NYSE,BB,Medium,300,20230222,BB,Medium,369,NEE,1151,BBB,High
